,,,,,,,,
"CUADRO No .-9 
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS, POR CLASE, SEGÚN CAPACIDAD DE PASAJEROS",,,,,,,,
,,,,,,,,ÍNDICE>>
CLASE,TOTAL DE ASIENTOS,TOTAL DE VEHÍCULOS,CAPACIDAD DE ASIENTOS,,,,,
,,,1 A 10,11 A 20,21 A 30,31 A 40,41 Y MÁS,
TOTAL," 5,919,963 "," 1,385,813 "," 1,367,554 "," 1,442 "," 2,097 "," 6,577 "," 8,143 ",
AUTOMÓVIL," 2,991,965 "," 598,835 "," 598,835 ", -   , -   , -   , -   ,
AUTOBUS," 704,827 "," 17,826 ", -   ," 1,022 "," 2,096 "," 6,575 "," 8,133 ",
FURGONETA P," 159,362 "," 29,703 "," 29,553 ", 150 , -   , -   , -   ,
JEEP," 1,587,004 "," 302,228 "," 301,986 ", 242 , -   , -   , -   ,
MOTOCICLETA," 459,141 "," 431,215 "," 431,215 ", -   , -   , -   , -   ,
OTRA CLASE," 17,664 "," 6,006 "," 5,965 ", 28 , 1 , 2 , 10 ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2015,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
