,,,,,,,,
"CUADRO No .-1
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS POR USO, SEGÚN PROVINCIAS",,,,,,,,ÍNDICE>>
,,,,,,,,
PROVINCIA,TOTAL,USO DEL VEHÍCULO,,,,,,
,,PARTICULAR,ALQUILER,ESTADO,MUNICIPIO,GOBIERNOS SECCIONALES,OTROS ,
TOTAL,"2,056,213","1,885,063","135,905","26,535","6,953",924,833,
AZUAY,"64,254"," 60,123 "," 2,865 ", 956 , 271 , 38 , 1 ,
BOLÍVAR,"12,957"," 10,553 "," 1,906 ", 403 , 58 , 37 , -   ,
CAÑAR,"34,251"," 30,740 "," 3,011 ", 287 , 176 , 37 , -   ,
CARCHI,"16,269"," 13,311 "," 2,500 ", 383 , 72 , 3 , -   ,
COTOPAXI,"36,511"," 32,517 "," 3,520 ", 396 , 77 , -   , 1 ,
CHIMBORAZO,"32,960"," 29,167 "," 3,135 ", 436 , 188 , 33 , 1 ,
EL ORO,"83,417"," 75,563 "," 7,138 ", 550 , 117 , 49 , -   ,
ESMERALDAS,"37,064"," 33,878 "," 2,797 ", 307 , 25 , 53 , 4 ,
GUAYAS,"481,294"," 460,309 "," 17,221 "," 3,166 ", 513 , 10 , 75 ,
IMBABURA,"22,127"," 19,255 "," 2,548 ", 288 , 32 , 2 , 2 ,
LOJA,"20,791"," 19,171 "," 1,153 ", 270 , 160 , 37 , -   ,
LOS RÍOS,"101,774"," 96,800 "," 4,279 ", 618 , 64 , 13 , -   ,
MANABÍ,"158,157"," 146,528 "," 10,197 "," 1,126 ", 234 , 71 , 1 ,
MORONA SANTIAGO,"9,419"," 7,723 "," 1,101 ", 356 , 201 , 38 , -   ,
NAPO,"6,643"," 5,285 ", 954 , 258 , 115 , 31 , -   ,
PASTAZA,"8,398"," 6,756 "," 1,159 ", 305 , 118 , 60 , -   ,
PICHINCHA,"733,269"," 664,381 "," 51,418 "," 12,743 "," 3,752 ", 232 , 743 ,
TUNGURAHUA,"86,469"," 76,720 "," 8,559 ", 813 , 349 , 23 , 5 ,
ZAMORA CHINCHIPE,"5,414"," 3,992 "," 1,010 ", 287 , 104 , 21 , -   ,
GALÁPAGOS,"1,256", 876 , 301 , 74 , 5 , -   , -   ,
SUCUMBÍOS,"25,807"," 22,545 "," 2,105 ", 865 , 201 , 91 , -   ,
ORELLANA,"14,547"," 11,759 "," 2,155 ", 523 , 75 , 35 , -   ,
SANTO DOMINGO DE LOS TSÁCHILAS,"39,769"," 36,136 "," 2,819 ", 785 , 25 , 4 , -   ,
SANTA ELENA,"23,396"," 20,975 "," 2,054 ", 340 , 21 , 6 , -   ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2016,,,,,,,,
,,,,,,,,
Nota: La distribución geográfica de las provincias de este cuadro se registra en función del lugar de residencia del propietario del automotor.,,,,,,,,
