,,,,,,
"CUADRO No.-42
TRANSPORTE MARÍTIMO NACIONAL
TRANSPORTE DE CABOTAJE: NÚMERO DE NAVES ENTRADAS Y SALIDAS SEGÚN PUERTO*",,,,,ÍNDICE>>,
,,,,,,
    ENTIDADES    PORTUARIAS,    ENTRADAS,,SALIDAS,,,
,NÚMERO DE NAVES,NÚMERO DE PASAJEROS,NÚMERO DE NAVES,NÚMERO DE PASAJEROS,,
 TOTAL," 2,463 ", -   ," 2,458 ", -   ,,
APE, -   , -   , -   , -   ,,
APG, -   , -   , -   , -   ,,
APM, 833 , -   , 831 , -   ,,
APPB, -   , -   , -   , -   ,,
SUINBA, 165 , -   , 165 , -   ,,
SUINLI, 843 , -   , 840 , -   ,,
SUINSA, 622 , -   , 622 , -   ,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,
Fuente: Entidades Portuarias - 2016,,,,,,
*Se considera todas las naves que entraron y salieron entre puertos nacionales,,,,,,
"Nota: descripción del significado de las siglas utilizadas para los cuadros:
APE: Autoridad Portuaria de Esmeraldas
APG: Autoridad Portuaria de Guayaquil
APM: Autoridad Portuaria de Manta
APPB: Autoridad Portuaria de Puerto Bolívar
SUINBA: Superintendencia del Terminal Petrolero de Balao
SUINLI: Superintendencia del Terminal Petrolero de La Libertad
SUINSA: Superintendencia del Terminal Petrolero el Salitral",,,,,,
