,,,,,,,,
"CUADRO No .-10
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS POR CAPACIDAD DE CARGA, SEGÚN CLASE",,,,,,,,
,,,,,,,,ÍNDICE>>
CLASE,TOTAL DE TONELADAS,TOTAL DE VEHÍCULOS,CAPACIDAD DE CARGA,,,,,
,,,1/4 A 3,3 1/4 A 6,6 1/4 A 10,10 1/4 A 15,15 1/4 Y MÁS,
TOTAL," 1,517,397 "," 567,411 "," 458,915 "," 68,695 "," 13,327 "," 8,562 "," 17,912 ",
CAMIÓN," 544,085 "," 98,906 "," 22,558 "," 58,583 "," 10,262 "," 5,382 "," 2,121 ",
CAMIONETA," 473,672 "," 403,540 "," 397,551 "," 5,806 ", 93 , 52 , 38 ,
FURGONETA C," 54,067 "," 41,268 "," 38,664 "," 2,604 ", -   , -   , -   ,
TANQUERO," 23,476 "," 2,228 ", 142 , 351 , 359 ," 1,133 ", 243 ,
TRÁILER," 246,804 "," 9,749 ", -   , -   , 986 , 432 ," 8,331 ",
VOLQUETA," 175,294 "," 11,720 ", -   ," 1,351 "," 1,627 "," 1,563 "," 7,179 ",
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2016,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
